id,llm,P,R,F,hash
5838_7,google/codegemma-7b,0.9164334535598755,0.9114547967910767,0.9139373898506165,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
5838_7,meta-llama/CodeLlama-7b-hf,0.9581105709075928,0.8973091244697571,0.9267136454582214,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
5838_7,Qwen/CodeQwen1.5-7B,0.7870340943336487,0.888224720954895,0.8345732688903809,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
5838_7,bigcode/starcoder2-7b,0.961857259273529,0.8979433178901672,0.9288020730018616,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
5838_7,ibm-granite/granite-8b-code-base,0.9618571996688843,0.8979433178901672,0.9288020133972168,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
6881_7,google/codegemma-7b,0.8744639158248901,0.8359535336494446,0.8547751903533936,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
6881_7,meta-llama/CodeLlama-7b-hf,0.8618267774581909,0.8433719277381897,0.8524994254112244,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
6881_7,Qwen/CodeQwen1.5-7B,0.9026378393173218,0.8398396372795105,0.8701071739196777,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
6881_7,bigcode/starcoder2-7b,0.8744639754295349,0.8359535336494446,0.8547752499580383,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
6881_7,ibm-granite/granite-8b-code-base,0.8744639158248901,0.8359535336494446,0.8547751903533936,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10415_12,google/codegemma-7b,0.9668138027191162,0.9593437314033508,0.9630643129348755,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10415_12,meta-llama/CodeLlama-7b-hf,0.9698394536972046,0.9611402750015259,0.9654702544212341,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10415_12,Qwen/CodeQwen1.5-7B,0.9668138027191162,0.9593437314033508,0.9630643129348755,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10415_12,bigcode/starcoder2-7b,0.9668138027191162,0.9593437314033508,0.9630643129348755,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10415_12,ibm-granite/granite-8b-code-base,0.9668138027191162,0.9593437314033508,0.9630643129348755,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10518_0,google/codegemma-7b,0.7539854645729065,0.7043362855911255,0.7283157110214233,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10518_0,meta-llama/CodeLlama-7b-hf,0.7550124526023865,0.7206217050552368,0.7374163269996643,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10518_0,Qwen/CodeQwen1.5-7B,0.7163207530975342,0.7268556356430054,0.7215497493743896,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10518_0,bigcode/starcoder2-7b,0.7481731176376343,0.7488025426864624,0.7484877109527588,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
10518_0,ibm-granite/granite-8b-code-base,0.7713476419448853,0.7586684226989746,0.764955461025238,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
11161_0,google/codegemma-7b,0.8968017101287842,0.8261762857437134,0.8600414991378784,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
11161_0,meta-llama/CodeLlama-7b-hf,0.9158762693405151,0.8112385869026184,0.8603876829147339,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
11161_0,Qwen/CodeQwen1.5-7B,0.7507271766662598,0.8133292198181152,0.7807753682136536,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
11161_0,bigcode/starcoder2-7b,0.8235417008399963,0.8359976410865784,0.8297229409217834,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
11161_0,ibm-granite/granite-8b-code-base,0.8686219453811646,0.8916395306587219,0.8799802660942078,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
12566_1,google/codegemma-7b,0.945182204246521,0.96708083152771,0.9560061097145081,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
12566_1,meta-llama/CodeLlama-7b-hf,0.9779825210571289,0.9855936169624329,0.9817733764648438,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
12566_1,Qwen/CodeQwen1.5-7B,0.8772963881492615,0.9531973600387573,0.9136732816696167,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
12566_1,bigcode/starcoder2-7b,0.9453204870223999,0.9335181713104248,0.9393822550773621,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
12566_1,ibm-granite/granite-8b-code-base,0.9087371826171875,0.9402109384536743,0.9242061376571655,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
13150_9,google/codegemma-7b,1.0,0.9999999403953552,0.9999999403953552,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_no-context_en
