id,llm,P,R,F,hash
172943_2,google/codegemma-7b,1.0,1.0,1.0,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
172943_2,meta-llama/CodeLlama-7b-hf,0.9770972728729248,0.9789110422134399,0.9780033230781555,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
172943_2,Qwen/CodeQwen1.5-7B,0.9977935552597046,0.9980114698410034,0.997902512550354,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
172943_2,bigcode/starcoder2-7b,1.0,1.0,1.0,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
172943_2,ibm-granite/granite-8b-code-base,1.0,1.0,1.0,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
18183_3,google/codegemma-7b,1.0,1.0,1.0,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
18183_3,meta-llama/CodeLlama-7b-hf,0.9958164095878601,0.996483325958252,0.9961497187614441,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
18183_3,Qwen/CodeQwen1.5-7B,0.9961090087890625,0.9966068267822266,0.9963578581809998,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
18183_3,bigcode/starcoder2-7b,0.9957013130187988,0.9957627654075623,0.9957320094108582,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
18183_3,ibm-granite/granite-8b-code-base,0.9957013726234436,0.9957627654075623,0.9957320690155029,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
57662_0,google/codegemma-7b,0.9884782433509827,0.9887564778327942,0.9886173009872437,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
57662_0,meta-llama/CodeLlama-7b-hf,0.9832654595375061,0.9834983348846436,0.9833819270133972,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
57662_0,Qwen/CodeQwen1.5-7B,0.9794092178344727,0.978298544883728,0.9788535833358765,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
57662_0,bigcode/starcoder2-7b,0.9718449115753174,0.9694260954856873,0.9706339836120605,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
57662_0,ibm-granite/granite-8b-code-base,0.9917210340499878,0.9916978478431702,0.9917094111442566,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
203327_6,google/codegemma-7b,0.9906429648399353,0.9905231595039368,0.990583062171936,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
203327_6,meta-llama/CodeLlama-7b-hf,0.9738842248916626,0.9757554531097412,0.9748189449310303,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
203327_6,Qwen/CodeQwen1.5-7B,0.9947066903114319,0.994868814945221,0.9947877526283264,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
203327_6,bigcode/starcoder2-7b,0.9727615118026733,0.9742523431777954,0.9735063314437866,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
203327_6,ibm-granite/granite-8b-code-base,0.9807605147361755,0.9820919632911682,0.9814257621765137,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
4744_9,google/codegemma-7b,0.9446629285812378,0.9487316608428955,0.946692943572998,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
4744_9,meta-llama/CodeLlama-7b-hf,0.9803854823112488,0.9785124063491821,0.9794480800628662,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
4744_9,Qwen/CodeQwen1.5-7B,0.9834180474281311,0.9812690019607544,0.9823423027992249,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
4744_9,bigcode/starcoder2-7b,0.9870201349258423,0.9851207733154297,0.9860695004463196,microsoft__codebert-base_L9_no-idf_version=0.3.12(hug_trans=5.0.0rc3)_no-rescaled_slow-tokenizer_context_nl
